BEGIN_CITIES_FILE

BEGIN_NODES

0	SanFrancisco	0	160	250
1	Chicago		0	222	256
2	Atlanta		0	251	284
3	Toronto		0	262	236
4	Washington	0	296	280
5	NewYork		0	316	260
6	London		0	472	190
7	Madrid		0	467	240
8	Essen		0	524	187
9	Paris		0	503	226
10	StPetersburg	0	588	144
11	Milan		0	540	227
12	LosAngeles	1	160	293
13	MexicoCity	1	240	348
14	Miami		1	274	314
15	Bogota		1	290	400
16	Lima		1	283	460
17	Santiago	1	293	544
18	BuenosAires	1	342	532
19	SaoPaulo	1	381	475
20	Lagos		1	503	346
21	Khartoum	1	577	343
22	Kinshasa	1	544	422
23	Johannesburg	1	568	476
24	Algiers		2	506	276
25	Istanbul	2	577	239
26	Moscow		2	609	171
27	Cairo		2	568	291
28	Baghdad		2	622	259
29	Tehran		2	648	247
30	Riyadh		2	626	323
31	Karachi		2	675	287
32	Delhi		2	726	266
33	Mumbai		2	705	322
34	Kolkata		2	744	299
35	Chennai		2	732	352
36	Beijing		3	824	226
37	Seoul		3	879	232
38	Shanghai	3	823	262
39	Tokyo		3	917	245
40	HongKong	3	811	297
41	Taipei		3	855	300
42	Osaka		3	903	270
43	Bangkok		3	779	332
44	Jakarta		3	831	405
45	HoChiMinhCity	3	819	349
46	Manila		3	856	333
47	Sydney		3	967	508

END_NODES

BEGIN_EDGES

0 1
0 12
0 39
0 46
1 2
1 3
1 12
1 13
2 4
2 14
3 4
3 5
4 5
4 14
5 6
5 7
6 7
6 8
6 9
7 9
7 19
7 24
8 9
8 10
8 11
9 11
9 24
10 25
10 26
11 25
12 13
13 14
13 15
13 16
14 15
15 16
15 18
15 19
16 17
18 19
19 20
20 21
20 22
21 22
21 23
21 27
22 23
24 25
24 27
25 26
25 27
25 28
26 29
27 28
27 30
28 29
28 30
28 31
29 31
29 32
30 31
31 32
31 33
32 33
32 34
32 35
33 35
34 35
34 40
34 43
35 43
35 44
36 37
36 38
37 38
37 39
38 39
38 40
38 41
39 42
40 41
40 43
40 45
40 46
41 42
41 46
43 44
43 45
44 45
44 47
45 46
46 47
12 47

END_EDGES

START_CITY: 2

END_CITIES_FILE
